Abuse people's confidences.,H1131
Get so happy or energetic that I am almost giddy.,R43
Get so involved with things that I forget the time.,E73
Get started quickly on doing a job.,Q197
Get stressed out easily.,X107
Get stressed out much more than most people.,T1320
Get suspicious when my spouse or partner says they are working late.,T1374
Get suspicious when someone treats me nicely.,Q233
Get the most fun out of things that are illegal.,T1376
Get things done quickly.,H555
Get to the bottom of things.,H257
Get to the heart of the matter.,H369
Get to the point quickly.,H408
Get to work at once.,"H517, X55"
Get too tired to do anything.,Q23
Get upset by unpleasant thoughts that come into my mind.,R37
Get upset easily.,X95
Get upset if I see an animal in pain,M72
Get upset if I see people suffering on news programs,M27
Get upset if objects are not arranged properly.,R31
Get upset if others change the way that I have arranged things.,R24
"Get upset if something is stolen from me, even if it has little monetary value",M07
Get upset when I can't pursue my current interests,M77
Get upset when others don't notice how I look.,P452
Get upset when others notice how I look.,P487
Get very anxious or angry when my spouse or romantic partner is meeting someone else.,T1387
Give compliments.,H100
Give everyone a chance.,V188
Give in to my urges.,V329
Give in to no one.,H424
Give money to beggars.,E176
Give people a second chance.,W93
Give people good advice.,H1255
Give priority to my own interests.,H703
Give to panhandlers.,E17
Give unsolicited advice.,H734
Give up easily.,"H1144, V200"
Go into situations expecting nothing but the worst to occur.,T1398
Go my own way.,H400
Go off on a lot of tangents.,T1400
Go on binges.,X133
Go on shopping sprees.,X186
Go out of my way for others.,H1179
Go out of my way to attend educational events.,V2
Go out of my way to cheer up people who appear down.,V88
Go out of my way to help people who are suffering.,W96
Go out of my way to meet people.,T1406
Go straight for the goal.,H365
Go through money quickly.,Q4
Go to bed immediately if I feel that I'm getting sick.,C21
Go to the doctor a lot.,C7
Go too far with jokes.,H94
Gossip about others.,H1163
Got in trouble a lot at school.,Q29
Grow stiff for awhile.,A133
Grumble about things.,H1133
Guide my life using religious scriptures.,P458
Habitually blow my chances.,H1183
Had a poor appetite.,N02
Had crying spells.,N18
Had restless sleep.,N13
Had the experience of being accused of lying when I did not think I had lied.,B10
Had the experience of being in a familiar place but finding it strange and unfamiliar.,B16
"Had the experience of feeling as though I was standing next to myself, or watching myself as if I was looking at a different person.",B7
Had the experience of feeling that my body did not belong to me.,B13
"Had the experience of feeling that other people, objects, and the world around me were not real.",B12
Had the experience of looking in a mirror and not recognizing myself.,B11
"Had the experience of not being sure whether things I remember happening really did happen, or whether I just dreamed them.",B15
Had the experience of remembering a past event so vividly that it felt like I was reliving that event.,B14
Had thoughts about death.,N23
Had trouble keeping my mind on what I was doing.,N07
Handle problems as well as anyone else.,T1419
Handle tasks smoothly.,H1354
Hang around doing nothing.,H627
Hang up the phone on people.,E33
Hardly ever finish things on time.,D2
Hate being the center of attention.,P434
Hate parting with old things.,E97
Hate standing in lines.,P415
Hate surprises.,"H304, X128"
Hate to hear about the successes of others.,V87
"Hate to see anyone suffer, even my worst enemy.",V328
Hate to seem pushy.,E31
Hate to wait for my turn in line or in a game.,R56
Hate waiting for anything.,P459
"Have a ""couldn't care less"" attitude.",Q42
Have a broad outlook on what is going on.,V8
Have a calming influence.,H168
Have a colorful and dramatic way of talking about things.,V153
Have a conscience.,Q17
Have a conventional lifestyle.,D69
Have a dark outlook on the future.,H639
"Have a dark, depraved, or evil side that I keep to myself.",T1441
Have a good memory for things I’ve down throughout the day.,T1442
Have a good memory.,Q2
Have a good sense of physical balance.,Q167
Have a good word for everyone.,H22
Have a great sense of humor.,V251
Have a hard time cheering myself up.,T1444
Have a hard time keeping my feelings in check.,T1446
Have a high opinion of myself.,H738
Have a history of 'talking back' to parents or teachers.,T1449
Have a lot of fun.,H1094
Have a low opinion of myself.,"H646, X152"
Have a mature view on life.,V255
Have a mouth that gets me into trouble.,T1454
Have a natural talent for influencing people.,P432
Have a negative view of the future.,T1456
Have a negative view of the world.,T1457
Have a plan for what I want to be doing five years from now.*,W126
Have a pleasing physique.,P358
Have a point of view all my own.,H581
Have a poor vocabulary.,X28
Have a quiet laugh.,A59
Have a rebellious side that gets me into trouble.,T1459
Have a reputation for asking inappropriate questions.,T1460
Have a rich vocabulary.,"H1276, X245"
Have a sharp tongue.,H917
Have a slow pace to my life.,P477
Have a soft heart.,X177
Have a special ability to know what will happen before it happens.,V184
Have a strong need for power.,P445
Have a strong personality.,Q14
Have a strong physique.,Q206
Have a thin body.,Q62
Have a very good imagination.,W265
Have a violent temper.,T1468
Have a vivid imagination.,X14
Have all my senses intact.,Q97
Have all the material things I really need to enjoy life,M43
Have already gotten more than I deserve.,P455
Have always been a rule-breaker.,T1470
Have always been completely fair to others.,Q251
Have always been suspicious of other people.,T1471
Have an attractive face.,Q219
Have an excellent view of the world.,V81
Have an eye for detail.,H1356
Have an imagination that stretches beyond that of my friends.,V259
"Have an intense, boisterous laugh.",D30
Have an uncommon ability to persuade or inspire others.,R63
Have as much money as I need.,Q254
Have attacked someone physically.,A35
Have attacks that resemble an epileptic fit.,A144
Have attempted to kill myself.,T1480
Have avoided situations or people for fear that I would get sick.,C14
Have bad luck.,Q132
Have bad manners.,Q140
Have bad things happen to me for no reason.,Q79
Have banged my head against the wall on purpose.,T1485
Have beautiful ideals in my heart.,Q209
Have become extremely jealous in my lifetime.,T1487
Have been accused of being too protective in romantic relationships.,T1489
Have been arrested at least once in the past.,T1491
Have been arrested multiple times.,T1492
Have been called a cheapskate.,P489
Have been depressed for much of my life.,T1495
Have been described as a jealous person by others.,T1497
Have been described as 'unusual.',T1496
Have been described as wise beyond my years.,V158
Have been in trouble for failing to live up to my responsibilities.,T1499
Have been in trouble for mouthing off to my boss.,T1500
Have been known to fly off the handle when distressed.,T1501
Have been left speechless by the beauty depicted in a movie.,V174
Have been physically cruel to animals or even other people.,T1502
Have been richly blessed in my life.,V33
Have been told by others that my thinking patterns don't make sense.,T1505
Have been told I'm not listening when others are speaking to me.,R40
Have been told that I am difficult to understand.,T1507
Have been told that I am rigid and inflexible.,T1508
Have been told that I am strange or weird.,T1509
Have been told that I have horrible table manners.,T1511
Have been told that I have trust issues in relationships.,T1512
Have been told that I neglect other important parts of my life because I work so hard.,T1513
Have been told that my behavior often is bizarre.,T1517
"Have been told that my medical problems are ""all in my head.""",T1518
Have been told that my stories don't make sense.,T1519
Have been told to slow down and take it easy.,T1520
Have broken into someone else's house or car.,T1523
Have broken things when angry.,T1524
Have complete confidence in my doctor.,C13
Have crying fits.,H956
Have days when I'm mad at the world.,E81
Have deliberately not done my best.,T1528
Have deliberately risked my safety because I thought that it was “the right thing to do.”,W363
Have difficulty accepting love from anyone.,V340
Have difficulty concentrating on the job at hand when I hear good news.,D23
Have difficulty doing my work.,H1402
Have difficulty expressing my feelings.,X97
Have difficulty feeling happy.,T1534
Have difficulty fitting in.,T1529
Have difficulty getting others to work together.,V54
Have difficulty getting rid of nasty thoughts.,R45
Have difficulty imagining things.,"H1382, X7"
Have difficulty keeping a conversation going,M24
Have difficulty keeping my attention on a task.,R23
Have difficulty keeping things in mind.,H1435
Have difficulty showing affection.,A132
Have difficulty starting tasks.,H621
Have difficulty understanding abstract ideas.,X176
Have done many terrible things.,R55
Have done many things for which I could have been (or was) arrested.,T1541
Have done things to deface my body.,T1545
Have done things to myself that others might find brutal.,T1546
Have eerie feelings.,V325
Have excellent ideas.,H1313
Have experienced a spiritual force that is greater than any human being.,P406
Have exploited others for my own gain.,T1550
Have extra time on my hands.,P374
Have fantasized about my funeral.,T1551
Have feelings that I can't quite identify.,A102
Have felt contact with a divine power.,P382
Have felt so good during numerous moments in my life that I could not imagine feeling any better.,D84
Have felt the presence of another person when he or she was not really there.,A47
Have felt the presence of God / a Higher Power.,W345
Have few interests.,V342
Have fixed opinions.,H1456
Have found that it takes a lot to make me feel truly happy.,D103
Have frequent mood swings.,E92
Have frequent thoughts about death.,T1559
Have friends who belong to very different groups of people.,W329
Have friends who have very different beliefs from mine.*,W190
Have frightening dreams.,A44
Have gathered the means to kill myself.,T1563
Have given myself a scar intentionally.,T1565
Have given up hope.,T1566
"Have good ""presence of mind.""",Q203
Have good luck.,Q231
Have gotten better with age.,Q187
Have gotten into more fights than most people.,T1568
Have gotten the important things I want in my life.,V265
Have great stamina.,Q236
Have guilty thoughts that I cannot get out of my mind.,T1573
Have had conflicts with the police.,T1574
Have had dreams of committing suicide.,T1575
Have had intense religious experiences.,A92
Have had strong impulses to just end it all.,T1578
Have had the feeling that I might not be human.,T1579
Have had the feeling that I was someone else.,T1580
Have had the feeling that my thoughts were audible.,A53
Have had the feeling that other people have injected their thoughts into my mind.,A60
Have had the sensation of being hypnotized.,T1584
"Have had the strange experience in which things seem ""more real"" than usual.",T1585
Have had thoughts of suicide.,T1587
Have hired a private detective to see if my partner/spouse was cheating on me.,T1588
Have hit myself purposely with heavy objects.,T1589
Have ideas that are very strange.,T1591
Have intense religious experiences which influence me in a strong manner.,A143
Have intentionally burned my own skin.,T1592
Have intentionally done myself physical harm.,A75
Have intentionally given myself alcohol poisoning.,T1595
Have leadership abilities.,Q134
Have learned how to get others to do things for me.,T1597
Have learned that it's dangerous to believe what people say.,V267
Have little confidence in my decisions.,T1600
Have little desire for sex or romance.,T1601
Have little interest in hobbies and other activities.,T1602
Have little left to live for.,T1603
Have little patience for slackers.,E127
Have little respect for my superiors.,T1605
Have little respect for the police.,T1606
Have little sympathy for the unemployed.,A51
Have little to contribute.,H1032
Have little to say.,H1039
Have lived in all 50 states in the U.S.A.,P437
Have lost friends due to my jealousy.,T1610
Have lost relationships due to my jealousy.,T1611
Have lots of symptoms that don't make any sense to me or those around me.,T1612
Have made a suicide plan in the past.,T1613
Have many piercings.,T1614
Have many valuable material possessions.,Q152
Have medical problems that my doctors don't understand.,T1616
Have mood swings that are completely out of control.,T1617
Have murderous ideas.,A140
Have nerves of steel.,Q145
Have never attended a college or university.,Q93
Have never been in trouble with the law.,T1622
Have never cared much what others thought of me.,V187
Have never considered myself a positive or happy person,T1626
Have never deliberately hurt anyone.,V15
Have never engaged in gossip.,P413
Have never felt real joy.,V221
Have never given bad advice to a friend.,V123
Have never given serious thought to ending my life.,T1629
Have never had a loyal friend.,T1630
Have never hated anyone.,Q235
Have new ideas for improving things.,W268
Have no interest in long-term romantic relationships.,T1633
Have no interest in making new friends.,T1634
Have no need for close friendships.,V230
Have no objection to stepping on other people's toes if it is to my advantage.,T1636
Have no opinions of my own.,H1014
Have no plan for my life five years from now.,V206
Have no problem defying the wishes of people in command.,T1639
Have no secrets.,H8
Have no special urge to do something original.,V335
Have no sympathy for criminals.,E169
Have no sympathy for rule-breakers.,V159
Have no trouble controlling my anger.,T1642
Have no trouble eating healthy foods.,V23
Have no will to live.,T1643
Have not created something of beauty in the last year.,V30
Have noticed that different letters of the alphabet have different colors.,T1644
Have noticed that different odors have different colors.,T1645
Have noticed that friends or family become frustrated with my mood swings.,T1646
Have noticed that I put my work ahead of too many other things.,T1647
Have noticed that lying comes easily to me.,T1648
Have noticed that my emotions get me into trouble when I'm stressed.,T1652
Have noticed that my friends have often betrayed me.,T1649
Have noticed that people sometimes try to make me look foolish.,T1655
Have occasionally disliked someone.,P362
Have occasionally had the feeling that a TV or radio broadcaster knew I was listening to him.,T1657
Have often been punished without a good reason.,Q46
Have out-of-body experiences.,A21
Have overcome pain and disappointment.,V263
Have persuaded others to do something really adventurous or crazy.,R58
Have physical sensations that even doctors don't understand.,A57
Have physically threatened someone to get what I want.,T1661
Have planned out exactly how I will die.,T1663
Have problems with my eyesight.,Q248
Have purposely cut myself to the point of scarring.,T1664
Have read a lot.,H1259
Have read the great literary classics.,Q228
Have recently found an original solution to a problem in my life.,V294
Have saved so many things that they get in the way.,R68
Have second thoughts.,H850
Have secret strategies.,P373
Have sensed strange smells that others do not sense.,T1669
Have severe mood swings.,T1670
Have some bad habits.,P478
Have sometimes felt incredibly intense pleasure.,D92
Have sometimes had to tell a lie.,P356
Have special problems.,V107
Have spent at least 30 minutes in the last 24 hours in prayer or meditation.,V177
Have spied on a romantic partner because I thought he/she was cheating on me.,T1676
Have spread gossip as a way to get back at someone.,T1677
Have started many fist fights in my life.,T1678
Have stolen things from time to time.,T1679
Have stolen things many times.,T1680
Have strong emotional reactions to everyday hassles.,T1681
Have strong reactions to even minor problems in my life.,T1683
Have strong sexual urges.,Q52
Have strong urges sometimes to hurt myself.,T1685
Have taken frequent stands in the face of strong opposition.,V11
Have taken pills with the intention of making myself sick.,T1688
Have taken things that weren't mine.,T1689
Have the ability to be a good teacher.,Q24
Have the ability to make others feel interesting.,V119
"Have the feeling of being directed or controlled from outside, like a puppet on a string.",A27
Have the power to cast spells on others.,T1692
Have thought about the best way to die.,T1693
Have thought about writing a suicide note.,T1694
Have thoughts of injuring myself.,T1695
Have thoughts of murdering people.,T1696
Have thoughts of torturing or harming others.,T1697
Have threatened to kill myself.,T1698
Have time for play and relaxation.,P450
Have to be on guard against spells which strangers may cast upon me.,V121
Have to hurt myself to relieve stress.,T1701
Have too little time to do what is needed.,P368
Have too many things to do.,P448
Have too many thoughts that confuse me and others.,T1705
Have tried to poison myself.,T1707
Have trouble admitting to mistakes.,T1708
Have trouble changing my behavior to suit the situation.,P495
Have trouble coping when something goes wrong.,T1710
Have trouble dealing with even the smallest problems.,T1711
"Have trouble deciding even simple things, like where to eat dinner.",T1712
Have trouble getting interested in things.,T1714
Have trouble guessing how others will react.,P405
Have trouble opening up to people.,T1715
"Have trouble relaxing, even with family or friends.",V85
Have trouble resisting the temptation of doing forbidden things,S14
Have trouble throwing away even worthless junk.,V74
Have unpredictable emotions and moods.,T1719
Have unusual beliefs about the world.,T1720
Have urges to cut myself.,T1721
Have used confidential information for my own gain.,T1722
Have used illegal drugs.,T1723
Have vandalized other people's property.,T1726
Have very high standards for the behavior of others.,T1727
Have written a suicide note.,T1728
Hear sounds from nearby as if they come from far away.,A109
Hear voices talking about me when nobody is really there.,A138
Hear voices that others cannot.,T1732
Help my friends,M44
Help others only when there is something in it for me.,T1733
"Help people even when I do not want to, because it is the right thing to do.",W80
Helped a neighbor in the last month.,V164
Hide my real intentions.,H1331
Hide whatever is important to me.,V70
Hold a grudge.,X217
Hold back my opinions.,H679
Hold grudges.,V72
Hold myself and others to very high standards.,T1740
Honor all the vows I have made.,Q185
Hope that I am never a nuisance to anyone.,Q78
Hug my close friends.,A79
Hurry my work.,H1083
Hurt people.,H1125
Ignore others' expectations.,H689
Ignore signs of danger.,Q217
Immediately feel sad when hearing of an unhappy event.,D116
Impose my will on others.,H721
Impress my friends and family with my ability to plan for the future.*,W299
"In tasks that I am not prepared for, attach great importance to the possibility of failure",S11
Indulge in my fantasies.,"H1119, X26"
Inquire about others' well-being.,H225
Insist on getting my way.,V247
Insist that others do things my way.,V69
Insult people.,H1103
Interfere in other people's business.,H725
Interrupt others.,H526
Invent problems for myself.,H1005
Invent things that can go wrong.,H1000
Investigate all possibilities.,H473
Involve others in what I am doing.,H1106
Joke around a lot.,H86
Judge myself more harshly than others do.,X252
Judge people by their appearance.,E69
Jump into things without thinking.,E46
Jump into things.,H454
Just know that I will be a success.,P379
Just let things happen.,"H1006, X39"
Keep a cool head.,H380
Keep a lot of anger bottled up inside of me.,T1765
Keep a sharp eye on others' work.,H275
Keep improving myself.,H1273
Keep in the background.,"H154, X34"
Keep in touch with old friends.,E76
Keep my appointments.,H144
Keep my checkbook balanced.,E20
Keep my cool.,X191
Keep my distance from strangers.,V156
Keep my emotions under control.,H381
Keep my faith even during hard times.,V84
"Keep my feelings to myself, regardless of how scared I am.",A130
"Keep my feelings to myself, regardless of how unhappy I am.",A10
Keep my hair fashionable.,P416
Keep my happy feelings to myself.,A84
Keep my promises.,"H149, X33, V14"
Keep my sense of humor even in gloomy situations.,V216
Keep my thoughts to myself.,H588
Keep myself uninvolved.,H569
Keep myself well-groomed.,H314
Keep old traditions.,H1061
Keep on the topic.,H374
Keep others at a distance.,H704
Keep people waiting.,H1194
Keep promises that I make to myself.,W315
Keep situations under control.,H346
Keep straight right from wrong.,V242
Keep the peace.,"H134, X42"
Keep things that I never use.,E164
Keep things tidy.,Q104
Keep to myself even when I'm around other people.,T1790
Keep to myself.,V183
Keep up an appearance.,H1022
Know how things work.,H1309
Know how to apply my knowledge.,H1336
Know how to captivate people.,H1110
Know how to comfort others.,H173
Know how to control myself.,H1098
Know how to convince others.,H1156
Know how to cope.,"H1281, X69"
Know how to do my job.,H261
Know how to do well on tests.,Q234
Know how to enjoy myself.,H1185
Know how to fly a helicopter.,P429
Know how to get around the rules.,H1327
Know how to get things done.,H1333
Know how to make something from nothing.,H477
Know how to play the bagpipes.,P412
Know immediately what to do.,H403
Know my limitations.,H358
Know my strengths.,"H357, X46"
Know no limits.,H873
Know people whose opinions are simply not worth listening to.,V19
Know someone for whom I would do almost anything.,W29
Know someone who is absolutely fair and just.,Q230
Know someone whom I really care about as a person.,V304
Know someone with whom I feel free to be myself.,W27
Know that anyone who tries can get a job.,X182
Know that I am not a special person.,X234
Know that I can improve myself.,E6
Know that I can live my life in any way I want to.,P494
Know that I wouldn't be any happier if I owned nicer things,M52
Know that I'm a special person.,P443
Know that I'm good because others tell me so.,P366
Know that many people helped me to get to where I am today.*,W111
Know that modesty doesn't become me.,P497
Know that my achievements will be forgotten after I'm dead.,R20
Know that my anger is a problem.,T1812
Know that my belief in God / a Higher Power helps me to understand my purpose in life.*,W347
Know that my beliefs make my life important.,V319
Know that my decisions are correct.,H324
Know that my friends consider me to be impulsive.,V138
Know that my ideas sometimes surprise people.,D73
Know that my life has no strong purpose.,V22
Know that my special qualities will some day be admired.,V61
Know that some others accept my shortcomings.,V90
Know that sometimes my clothes don't match (and I don't care).,D81
Know that the world would be a much better place if I were in charge.,P408
Know that there are people in my life who care as much for me as for themselves.,V55
Know that there is someone I trust to help and support me.,W28
Know the answers to many questions.,H1267
"Know the names of many types of animals, birds, and plants.",Q107
Know the proper thing to do.,H1303
Know what I want.,H328
Know what is essential and what is not.,H379
Know what makes others tick.,V157
Know what others are thinking.,H2022
Know what to say to make people feel good.,V295
Know what's going on in the world.,H1251
Lack confidence in what the future holds.,T1825
Lack the talent for influencing people.,P346
Lash out at others when something is bothering me.,T1827
Laugh a lot.,Q138
Laugh aloud.,H12
Laugh and cry at the same time.,H942
Laugh at others.,H1178
Laugh at the slightest provocation.,H537
Laugh my way through life.,H23
Laugh out loud if something is funny.,A5
Lay down the law to others.,H782
Learn quickly.,H1278
Learn things at an acceptable rate.,Q194
Learn things slowly.,Q67
Leave a mess in my room.,"H822, X16"
Leave my belongings around.,H823
Leave my work undone.,H625
Leave things unfinished.,H928
Let bygones be bygones.,V21
Let my attention wander off.,H931
Let myself be directed by others.,H1047
Let myself be influenced by others.,H975
Let myself be pushed around.,H1026
Let myself be taken over by urges to spend or eat too much.,V224
Let myself be talked into doing things.,H1184
Let myself be used.,H1030
Let myself go.,H81
Let nothing escape my eye.,H465
Let other people take the credit for my work.,P421
Let others determine my choices.,H970
Let others do the work.,H831
Let others do their own thing.,H199
Let others down.,H1087
Let others finish what they are saying.,H162
Let others have the credit.,H147
Let others make the decisions.,H964
Let others take advantage of me.,H550
Let people pull my leg.,H879
Let people push me around to help them feel important.,P399
Let things get out of hand.,H813
Let things go.,H628
Let things just happen to me.,H564
Let things proceed at their own pace.,E84
Lie to get myself out of trouble.,V143
"Lie, cheat, and steal.",T1861
Like a leisurely lifestyle.,X226
Like a lot of luxury in my life,M70
Like being the authority who has everyone's attention.,Q199
Like being the center of attention at a party or a social meeting,S29
Like being well-dressed at all times.,Q195
Like bland food.,X268
Like displaying my physical abilities even though this may involve danger,S24
Like hard jobs better than easy ones.,Q190
Like harmony in my life.,E167
Like having authority over others.,P402
Like having secrets.,E110
Like hearing views that differ from my own.,T1870
Like it when strangers find me sexually appealing.,T1871
Like learning about the achievements and creations of great men and women from history.,W16
Like making sexual advances.,T1872
Like movies and books about mysteries.,W63
Like music.,X81
Like order.,X118
Like people to notice me.,T1874
Like taking risks.,V277
Like the feeling I get when an airplane experiences rough turbulence.,T1877
Like the feeling of being startled or shocked.,T1878
Like things plain and simple.,P352
Like to act on a whim.,E122
Like to add competitive features to all activities,S19
Like to amuse others.,H2023
Like to apologize after an argument.,P438
Like to attend ceremonies.,Q37
Like to attract attention.,H1150
Like to be alone.,H1092
Like to be around children.,H2024
Like to be of service to others.,H188
Like to be thought of as a normal kind of person.,R6
Like to be viewed as proper and conventional.,D88
Like to be well prepared.,H1191
Like to begin new things.,"H441, X38"
Like to behave spontaneously.,D58
"Like to collect information about things (cars, birds,numbers)",M56
Like to color or style my hair in unconventional ways.,T1889
Like to compete and do everything I can to win,S30
Like to dispense with formalities.,P411
Like to do frightening things.,R53
Like to do things for others.,H109
Like to dress differently than everyone else.,V296
Like to dress up formally.,P339
Like to exaggerate my troubles.,V305
Like to find out about new and different ideas.,W237
Like to follow a regular schedule.,H301
Like to get lost in thought.,E163
Like to give intoxicants to others,M29
Like to give orders.,Q124
Like to go outside during violent thunderstorms.,T1899
Like to gossip.,E68
Like to hear myself talk.,H529
Like to help others,M14
Like to know how things work.,E67
Like to know the news of the world.,H2025
Like to laugh out loud.,H2026
Like to learn new things.,H1271
Like to look at my body.,P386
Like to look at myself in the mirror.,P396
Like to organize things.,H1161
Like to own things that impress people,M58
Like to plan ahead.,X171
Like to please others.,H195
Like to putter around the house.,E102
Like to read.,H2027
Like to show all sides of my emotions to the world.,T1907
Like to show off my body.,P474
Like to show-off.,T1909
Like to sleep on things before acting.,H668
Like to solve complex problems.,X201
Like to spend time learning new things that do not have anything to do with my studies or work.,W235
Like to stand during the national anthem.,X254
Like to stand out in a crowd.,V68
Like to start fights.,V127
Like to stir up excitement.,V287
Like to take a lot of photographs when I travel,M19
Like to take it easy.,E113
Like to take my time.,X111
Like to take responsibility for making decisions.,P473
Like to talk about my future plans.,H57
Like to talk about myself.,V214
Like to think of new ways to do things.,V71
Like to tidy up.,"H244, X21"
Like to trick people into doing things for me.,T1921
Like to turn heads when I walk into a room.,T1922
Like to visit new places.,X104
Like to walk slowly.,X164
Like to watch children open presents.,A1
Like to watch figure skating.,X193
Like to watch movies that focus on passion and sex.,T1925
Like to work as part of a team.,W45
Like variety.,H456
Like wild parties.,R64
Listen to my brain rather than my heart.,H378
Listen to my conscience.,"H153, X19"
Listen to my feelings when making important decisions.,A15
Listen to my heart rather than my brain.,X199
"Listen to others, even if I disagree.",X121
Live a life of luxury.,Q87
Live from one day to the next.,H865
Live in a state of poverty.,Q130
Live in a world of my own.,H659
Live life free of worries or anxiety.,T1937
Look after my health by eating well.,W314
Look at myself through others' eyes.,Q250
Look at the bright side of life.,H42
Look at the facts.,H372
Look at things from different angles.,H664
Look down on any weakness.,H435
Look down on others.,"H1136, X37"
Look for hidden meanings in things.,E175
Look for something to hold on to.,H979
Look forward to each new day.,V182
Look forward to the opportunity to learn and grow.,V117
Look on the bright side.,V28
Look sad even on my best days.,T1945
"Look to God / a Higher Power for support, guidance, and strength.",W346
Lose control over my behavior when I'm emotional.,T1946
Lose my temper.,H755
Lose respect for leaders if I disagree with them.,V271
Lose sight of what is most important in life.,V44
Lose things.,H841
Love a good fight.,H453
Love action.,H67
Love animals.,H2028
Love beautiful things.,"H1244, X13"
Love change.,Q16
Love children.,X73
Love children's art work.,R50
Love children's movies.,X2
Love dangerous situations.,R69
Love excitement.,"H438, X50"
Love flowers.,X140
Love large parties.,"H78, X17"
Love life.,H33
Love luxury.,Q161
Love my enemies.,Q183
Love order and regularity.,H309
Love roller coasters.,T1963
Love security.,H316
Love surprise parties.,E55
Love the feeling of being intimately close with someone.,T1968
Love the feeling of sexually arousing others.,T1969
Love to be complimented.,P401
Love to be the center of attention.,P393
Love to chat.,H1095
Love to come up with objections.,H694
Love to daydream.,X71
Love to discuss sexually charged topics.,T1975
Love to do impressions.,T1976
Love to doodle.,X270
Love to dress in outlandish clothes.,D110
Love to eat.,"H2029, X52"
Love to hear about other countries and cultures.,V330
Love to help others.,H1108
Love to laze in the sun.,X155
Love to learn new things.,H1265
Love to let others share the spotlight.,V303
Love to look my best.,V198
Love to make other people happy.,V129
Love to meet new people.,T1984
Love to read challenging material.,X211
Love to reflect on things.,H1210
Love to sleep.,X241
Love to spin tall tales.,X151
Love to think up new ways of doing things.,X225
Love to travel to places that I have never been before.,W61
Love to try new foods that I have not eaten before.,W62
Love what I do.,V148
Maintain distance between myself and others.,T1990
Maintain high energy throughout the day.,Q151
Make a decision and move on.,E135
Make a fool of myself.,Q66
Make a lot of noise.,H531
Make a mess of things.,H1467
Make a point of trying not to hurt others in pursuit of my goals.,A112
Make an issue out of everything.,H708
Make beautiful things.,H1245
Make careful choices.,V311
Make careless mistakes.,R75
Make certain that my plans will work.,V300
"Make decisions based on facts, not feelings.",A113
Make decisions easily.,Q139
Make decisions only after I have all of the facts.,V57
Make decisions quickly.,H397
Make decisions slowly.,H677
Make demands on others.,H2030
Make difficulties out of nothing.,Q98
Make enemies.,"H714, X47"
Make excuses.,H2031
Make friends easily.,H29
Make fun of others behind their backs.,T2009
Make insightful remarks.,H1358
Make jokes.,H7
Make lists of things to do.,H237
Make many digressions when speaking.,T2011
Make mistakes on purpose when I resent having to do something.,T2012
Make mistakes.,H1403
Make my own rules.,H578
Make myself the center of attention.,H535
Make order out of chaos.,H1352
Make others feel good.,H26
Make people feel at ease.,H107
Make people feel uncomfortable.,H607
Make people feel welcome.,H30
Make people pay for crossing me.,T2020
Make plans and stick to them.,X263
Make problems bigger than they are.,H1411
Make rash decisions.,H853
Make up tall stories.,H1019
Make well-considered decisions.,H377
Manage to make myself the center of attention.,V331
May hit somebody if they openly disagree with me.,T2029
Mediate in quarrels.,H1104
Meet challenges.,H326
Mess things up.,H896
Might actually enjoy being caught in an earthquake or tornado.,R16
Might enjoy a free fall from an airplane.,R32
Might enjoy the thrill of being lost at sea.,R13
Might enjoy zipping through traffic on a motorcycle.,T2034
Might get a kick out of the sights and sounds of warfare.,R72
Might sometimes seem eccentric.,D13
Misjudge situations.,H1395
Misrepresent the facts.,H1182
Misuse power.,H785
Mix up things.,H844
Move in a graceful manner.,Q255
Must try to maintain harmony within my group.,V201
Nag others.,H1199
Nearly always feel awake and alert.,W376
Need a creative outlet.,E87
Need a lot of explanations.,H1452
Need a lot of time to do things.,H1448
Need a push to get started.,H969
Need affection.,H989
Need others to help run my life.,T2046
Need protection.,H995
Need reassurance.,H980
Need the approval of others.,H974
Need things explained only once.,H1311
Need things to be arranged in a particular order.,R48
Need to force and remind myself to smile every day.,T2051
Need to know where my spouse or partner is at all times.,T2052
Need to understand my motives.,E130
Neglect my duties.,H1189
Neglect to thank others for their help.,Q150
Never abuse my credit.,X57
Never challenge things.,H1042
Never do anything reckless.,T2056
Never get furious.,X236
Never give up hope.,X102
Never give up.,H556
Never have sexual fantasies or daydreams.,T2064
Never remember my dreams.,X188
Never resent being asked to do a favor for someone.,Q64
Never seek vengeance.,V114
Never spend more than I can afford.,X216
Never splurge.,E30
Never stop talking.,H536
Never want to be thought of as average.,D114
Notice contradictions.,H1361
Notice my emotions.,A134
Notice the way that music is structured,M62
Notice when other people do things for me.,W109
Obstruct others' plans.,H494
Offend no one.,Q173
Offer help with problems.,H120
Often act in odd or peculiar ways.,T2079
Often am concerned about diseases I might have.,T2080
Often am irritated with others.,T2081
Often am trying to get back at people.,T2082
Often arrive late.,H819
Often become sweaty or flushed when faced with scary situations or people.,T2084
Often cannot recall the exact route I took to get somewhere.,T2088
Often can't remember what I ate yesterday.,T2086
Often can't remember what I did yesterday.,T2087
Often change plans at the last minute.,T2089
Often change the facts of a story to make it more interesting.,T2090
Often do nice things for people.,D6
Often do not know what time it is.,P466
Often do things to be praised,S27
Often drink too much.,X124
Often eat too much.,X145
Often enjoy singing without inhibitions when walking.,D94
Often enjoy telling jokes or behaving in a humorous manner.,D60
Often enjoy watching others suffer.,T2103
